,000906.SH,000961.SH,399440.SZ,H30588.CSI,000018.SH,399808.SZ,399914.SZ,399412.SZ,H11136.CSI,930599.CSI,930653.CSI,H30171.CSI,399967.SZ,000998.SH,000827.SH,000978.SH
2005-01-04,983.895,966.958,1132.6045,,753.778,,989.1032,,,988.127,984.671,986.114,977.339,,,982.191
2005-01-05,995.576,971.185,1139.7267,,748.588,,994.8379,,,1003.429,997.077,995.312,993.19,,,998.755
2005-01-06,986.216,951.816,1124.2958,,738.135,,988.4072,,,994.713,987.855,992.325,986.252,,,991.335
2005-01-07,987.693,942.236,1122.2087,,739.005,,993.9266,,,997.359,992.686,990.946,991.698,,,989.813
2005-01-10,997.186,946.245,1132.3955,,761.086,,1010.7026,,,1002.628,1004.845,998.472,997.696,,,1000.7
2005-01-11,1000.098,948.4,1137.4103,,766.493,,1014.6878,,,1004.567,1007.386,1005.794,1000.481,,,1001.189
2005-01-12,999.915,954.377,1140.583,,764.002,,1011.128,,,1007.329,1007.445,1004.362,1001.372,,,999.589
2005-01-13,1001.231,955.593,1141.166,,760.05,,1011.42,,,1012.475,1006.565,1003.733,1002.062,,,1001.541
2005-01-14,991.409,945.222,1134.4407,,755.22,,1001.4862,,,998.768,998.342,997.13,987.842,,,992.873
2005-01-17,969.922,919.424,1114.3572,,736.573,,977.5935,,,982.674,980.52,981.108,963.01,,,971.089
2005-01-18,979.139,921.443,1130.4105,,739.217,,983.6604,,,997.064,993.926,979.903,983.956,,,984.057
2005-01-19,972.369,909.983,1122.6084,,731.702,,972.645,,,987.355,987.971,970.293,966.331,,,976.073
2005-01-20,960.598,898.01,1112.6603,,727.235,,962.7983,,,977.484,976.017,956.241,954.925,,,957.261
2005-01-21,983.888,929.052,1151.6653,,776.644,,1010.5232,,,990.08,989.888,974.311,968.642,,,977.613
2005-01-24,1000.703,948.241,1169.2061,,786.993,,1027.3887,,,1013.701,1005.392,986.449,987.24,,,997.46
2005-01-25,998.001,958.203,1168.3529,,775.365,,1014.4027,,,1008.474,1006.446,992.322,975.102,,,988.144
2005-01-26,989.061,950.232,1165.123,,776.415,,1009.3704,,,997.151,1001.579,987.199,961.802,,,979.806
2005-01-27,973.434,933.386,1152.8072,,762.397,,994.0066,,,975.906,984.265,973.816,940.761,,,968.931
2005-01-28,964.026,928.381,1150.712,,764.243,,990.3381,,,956.87,980.716,968.362,923.749,,,950.197
2005-01-31,945.237,919.233,1144.0029,,758.664,,974.9202,,,929.241,968.807,953.855,894.317,,,918.51
2005-02-01,943.24,920.101,1152.9091,,769.57,,982.4763,,,921.84,967.125,949.601,884.632,,,907.347
2005-02-02,994.212,976.916,1210.3282,,807.569,,1035.1322,,,974.06,1009.656,994.234,936.417,,,955.873
2005-02-03,979.041,968.861,1194.4367,,789.785,,1019.2187,,,957.506,995.588,984.675,914.263,,,940.404
2005-02-04,1000.775,989.411,1228.9616,,834.02,,1062.6327,,,973.502,1012.077,1006.089,934.524,,,957.183
2005-02-16,1008.572,1001.113,1239.5055,,830.656,,1062.7514,,,988.458,1016.892,1009.17,949.832,,,964.171
2005-02-17,1007.811,994.671,1228.9985,,824.584,,1058.3097,,,994.405,1017.117,1002.896,955.473,,,969.615
2005-02-18,993.838,988.352,1204.7137,,808.891,,1040.5523,,,978.146,1004.038,990.782,943.202,,,957.652
2005-02-21,1012.737,1013.742,1228.3369,,834.723,,1065.7573,,,996.161,1019.374,1012.952,955.263,,,974.728
2005-02-22,1035.251,1034.209,1249.4747,,843.796,,1081.0052,,,1026.613,1042.554,1031.136,983.36,,,1000.48
2005-02-23,1036.707,1035.199,1238.6336,,828.838,,1069.8922,,,1036.146,1044.87,1025.729,998.209,,,1005.604
2005-02-24,1039.191,1035.565,1239.194,,831.276,,1069.667,,,1039.0,1048.528,1023.884,1005.113,,,1011.423
2005-02-25,1040.062,1042.832,1239.2832,,833.698,,1069.8041,,,1038.498,1052.943,1024.64,1005.853,,,1011.023
2005-02-28,1034.234,1045.751,1228.9869,,811.099,,1041.9324,,,1038.106,1051.196,1020.926,1004.621,,,1009.284
2005-03-01,1031.482,1041.864,1219.7137,,810.476,,1040.4341,,,1034.425,1052.406,1014.049,1000.681,,,1008.248
2005-03-02,1016.601,1025.945,1178.5068,,799.253,,1028.8643,,,1017.356,1036.437,1001.831,985.065,,,997.391
2005-03-03,1022.691,1028.914,1197.7308,,808.437,,1036.531,,,1020.142,1040.551,1010.241,991.649,,,1000.383
2005-03-04,1017.494,1018.367,1188.4165,,804.104,,1031.7096,,,1012.544,1036.873,1009.434,985.225,,,994.814
2005-03-07,1023.007,1023.618,1195.5151,,808.988,,1035.8098,,,1018.909,1043.294,1017.108,987.821,,,995.039
2005-03-08,1043.097,1048.438,1211.5639,,818.467,,1050.0737,,,1041.368,1061.811,1035.908,1015.86,,,1022.436
2005-03-09,1042.302,1046.294,1211.2232,,799.0,,1036.6507,,,1048.179,1066.17,1036.025,1032.618,,,1024.786
2005-03-10,1017.261,1016.004,1177.6794,,783.058,,1014.9078,,,1021.569,1047.601,1017.497,1001.632,,,1004.692
2005-03-11,1021.87,1019.833,1174.1027,,778.497,,1010.6072,,,1028.71,1047.491,1037.133,1005.417,,,1010.282
2005-03-14,1023.919,1031.437,1183.4163,,781.916,,1005.5981,,,1026.851,1058.481,1058.356,1000.855,,,1009.562
2005-03-15,1007.543,1007.133,1169.2317,,764.081,,986.686,,,1014.899,1047.802,1040.59,989.388,,,998.524
2005-03-16,997.285,989.82,1155.9998,,763.096,,981.0262,,,1004.856,1044.379,1028.662,979.541,,,982.764
2005-03-17,986.222,985.777,1140.2388,,760.522,,967.928,,,993.183,1039.351,1020.086,966.317,,,974.025
2005-03-18,969.983,968.9,1133.5587,,768.949,,967.5534,,,969.91,1024.858,1002.932,950.543,,,953.221
2005-03-21,972.291,970.958,1146.1847,,775.145,,968.7665,,,970.849,1031.877,1012.022,955.88,,,957.314
2005-03-22,951.743,959.15,1120.1116,,754.819,,940.0137,,,948.862,1023.287,1019.61,924.946,,,939.121
2005-03-23,948.301,961.952,1103.8507,,759.66,,941.4153,,,942.49,1025.47,1008.938,927.745,,,936.94
2005-03-24,955.399,965.479,1122.4007,,763.059,,947.3643,,,947.22,1024.504,1009.71,936.611,,,944.059
2005-03-25,953.561,965.474,1122.6804,,759.913,,942.6666,,,944.457,1021.913,1011.147,940.953,,,941.055
2005-03-28,949.518,963.498,1122.1516,,760.67,,933.3026,,,936.08,1029.282,1014.012,934.746,,,933.083
2005-03-29,943.929,957.068,1123.7549,,760.709,,930.7871,,,927.05,1021.62,1010.205,922.549,,,930.516
2005-03-30,922.947,937.606,1111.0468,,739.915,,914.5861,,,898.73,998.588,986.63,886.67,,,901.059
2005-03-31,928.649,945.418,1104.3779,,750.811,,925.4982,,,908.98,1002.609,989.538,895.098,,,906.167
2005-04-01,963.238,987.415,1149.2864,,782.51,,963.2394,,,945.424,1034.997,1022.961,928.303,,,938.454
2005-04-04,946.868,973.652,1128.5072,,765.989,,943.1266,,,928.602,1024.073,1012.475,911.168,,,921.296
2005-04-05,939.794,973.538,1107.5735,,765.437,,941.6714,,,920.814,1014.43,1009.95,903.414,,,917.874
2005-04-06,957.448,1003.851,1097.967,,783.829,,959.7068,,,937.605,1030.627,1042.586,915.59,,,935.261
2005-04-07,969.137,1002.322,1104.7009,,803.128,,989.0147,,,948.968,1042.595,1042.463,931.124,,,953.78
2005-04-08,987.353,1026.229,1116.3753,,816.668,,1013.0872,,,965.209,1059.128,1059.205,944.759,,,972.039
2005-04-11,981.315,1010.817,1107.8578,,807.248,,1006.473,,,955.285,1051.389,1043.117,941.715,,,971.992
2005-04-12,963.181,995.06,1100.73,,793.84,,987.1824,,,933.667,1036.608,1031.966,919.878,,,949.802
2005-04-13,985.622,1017.854,1125.7662,,812.094,,1014.3497,,,955.697,1051.177,1046.386,943.687,,,966.711
2005-04-14,971.601,1002.236,1119.8914,,796.362,,993.7757,,,942.55,1039.587,1034.531,931.324,,,955.445
2005-04-15,955.94,984.96,1105.8756,,789.523,,983.1773,,,921.978,1023.463,1025.097,906.796,,,936.761
2005-04-18,945.14,978.187,1093.6891,,784.539,,972.414,,,908.674,1008.846,1022.5,899.316,,,922.213
2005-04-19,946.986,976.457,1096.1542,,793.619,,985.6391,,,907.197,1005.989,1024.269,899.769,,,920.754
2005-04-20,930.891,968.848,1098.8694,,777.066,,963.2269,,,886.29,994.609,1014.676,875.876,,,904.265
2005-04-21,920.935,971.197,1069.2584,,779.246,,954.8363,,,873.913,977.944,1026.901,871.629,,,901.257
2005-04-22,914.607,964.912,1061.5374,,785.231,,944.4712,,,865.844,981.37,1029.369,860.95,,,891.537
2005-04-25,903.468,944.366,1034.364,,789.565,,945.9243,,,844.756,994.34,1025.98,847.176,,,879.456
2005-04-26,912.457,941.845,1031.3189,,790.352,,957.3031,,,861.063,1008.491,1018.931,858.474,,,898.27
2005-04-27,900.294,936.581,991.7838,,796.302,,953.7001,,,847.511,1002.484,1012.291,853.786,,,884.762
2005-04-28,917.088,954.573,999.9168,,800.128,,966.6361,,,868.16,1027.368,1029.263,876.988,,,904.322
2005-04-29,906.462,940.142,993.313,,809.216,,978.7575,,,849.824,1021.63,1023.22,868.237,,,891.712
2005-05-09,881.503,914.908,971.8248,,792.372,,954.8698,,,819.999,997.439,995.782,835.252,,,864.848
2005-05-10,884.259,919.365,981.3494,,807.509,,973.0173,,,821.557,996.955,993.472,840.789,,,867.053
2005-05-11,874.393,904.753,973.3818,,800.482,,962.5293,,,814.523,985.588,974.445,837.712,,,858.427
2005-05-12,861.577,886.558,943.2569,,770.332,,938.833,,,809.018,970.373,955.676,831.221,,,850.672
2005-05-13,864.772,887.913,949.1833,,779.374,,930.9109,,,810.291,969.585,959.714,835.104,,,859.095
2005-05-16,854.087,852.646,932.9927,,778.099,,921.3655,,,804.159,969.729,946.266,826.103,,,859.178
2005-05-17,861.365,848.09,944.7052,,782.936,,933.1567,,,808.413,980.687,952.15,833.673,,,874.152
2005-05-18,864.074,851.488,944.2432,,785.887,,938.8923,,,810.667,975.898,949.783,838.886,,,878.15
2005-05-19,864.441,849.616,945.0656,,788.841,,942.8034,,,810.445,977.701,951.146,845.569,,,877.908
2005-05-20,861.592,850.806,946.032,,784.428,,939.2615,,,807.259,977.792,953.361,842.918,,,874.362
2005-05-23,839.479,827.435,916.3085,,763.98,,914.3673,,,784.583,955.382,937.494,824.987,,,850.252
